time,Vib_Spindle,Vib_Table,Sound_Spindle,Sound_table,X_Load_Cell,Y_Load_Cell,Z_Load_Cell,Current,tool_wear,ACTION_CODE
39,3.953038674,5.01379751,1.577907855,1.745878946,-0.009425805,0.044845501,0.251405379,2.853797178,131,0
40,3.935606054,5.100960674,2.351628036,2.130682567,0.015571888,0.0274129,0.256339134,3.784961912,131,0
41,3.839233272,4.922687341,2.503312157,2.727548073,0.008664631,-0.01764873,0.256996968,1.038832697,131,0
42,3.897451641,5.064121902,2.947342125,2.192211678,0.001428456,0.001099539,0.254036715,1.664761818,131,0
43,3.852718883,5.162468268,1.32537546,1.23061413,0.002744124,0.059975683,0.253049964,2.730782156,131,0
44,3.899425145,5.194373278,2.00170177,4.221853369,0.00767788,-0.076524874,0.253707798,1.627594191,131,0
45,3.972773716,4.855917077,2.688228637,3.392195022,-0.005478801,-0.007123386,0.281007909,2.749201517,131,0
46,3.947775996,5.197991372,1.42688196,1.479033602,0.007020046,0.01425622,0.267522312,3.034043799,131,0
47,3.899754063,4.997680548,2.425989445,3.341688405,0.001757373,-0.028502991,0.251734296,1.98315354,163,0
48,3.95106517,4.930252445,2.697112526,1.962053341,-0.006465552,-0.008767971,0.250747545,2.80807769,163,0
49,3.955341095,5.11938006,2.570763892,2.951784071,0.001099539,-0.016004145,0.248116209,1.013506087,163,0
50,3.974089385,5.068726748,2.112421254,2.846164464,-0.003505299,-0.032449995,0.230354691,2.206159329,163,0
51,3.926396368,5.020704779,2.289440846,2.27068598,-0.00120288,0.011624884,0.229696857,3.249155662,163,0
52,3.936921723,5.097013662,2.313460236,2.192540711,-0.005478801,0.003073041,0.241208952,2.087749174,163,0
53,4.012572717,5.207858901,2.488670196,3.290688244,-0.000545046,0.017874307,0.259957221,1.476292348,163,0
54,3.908305914,5.133523517,2.660918904,4.196846788,0.013269469,-0.081129712,0.263575308,1.87625549,163,0
55,4.046122289,5.102934179,1.673820826,2.402792633,-0.010741473,0.023465896,0.262588557,1.99334997,163,0
56,3.984285823,5.11247279,2.813261163,1.448269068,-0.002847465,0.020505643,0.293506755,3.761937699,174,0
57,3.899096228,5.037150659,2.119659972,3.026639101,0.000112788,-0.010412556,0.299756178,1.423007788,174,0
58,3.905674575,4.95525018,2.07227927,2.888445208,0.006691129,0.007020046,0.302387514,3.421837218,174,0
59,3.991522005,5.076620771,2.432076551,1.477059407,0.003401958,0.064251604,0.316202028,3.350462173,174,0
60,3.913568591,4.939462137,2.206360084,2.518283151,-0.001860714,0.042543082,0.30172968,1.78876355,174,0
61,3.949420583,5.197333537,2.341098987,4.032987913,0.004059792,-0.041330754,0.304689933,1.218092476,174,0
62,3.880019022,5.129576506,2.732812601,2.910490422,-0.00120288,0.001428456,0.292848921,2.262075237,174,0
63,3.923107195,4.992088949,2.396870042,2.232682701,-0.004820967,0.01754539,0.275087403,1.034227859,174,0
64,3.864888824,5.066424325,2.398515206,2.309018294,0.006362212,0.027083983,0.279034407,4.421088141,174,0
65,3.866533411,5.120037895,1.882756487,2.805199855,0.002744124,0.00767788,0.281336826,3.304084841,174,0
66,3.961590525,5.037150659,2.550363854,1.905788767,0.010638133,0.039253912,0.288573,2.302203125,174,0
67,3.948104914,5.073331595,2.702706086,3.352875538,0.004388709,-0.025871655,0.312255024,1.794026223,182,0
68,3.873111758,5.108196861,2.143185808,3.104784472,0.000112788,-0.068301948,0.310939356,2.139389158,182,0
69,3.829365752,5.11378846,2.402299083,4.437535199,0.009651382,-0.044619924,0.339226218,-0.729425145,182,0
70,3.996455766,5.100302838,2.792038535,0.67093014,-0.002518548,0.012282718,0.343502139,2.785053488,182,0
71,3.92869879,4.95393451,2.59856717,1.166946366,0.009980299,0.036293659,0.341857554,3.108708006,182,0
72,3.969484542,4.970051471,2.072443786,2.425660412,0.008335714,-0.039357252,0.360605824,2.546917468,182,0
73,3.926067451,4.991760032,3.165655611,3.046545605,-0.002847465,0.013927303,0.362908243,1.407548687,182,0
74,3.829036834,5.09865825,1.066920529,1.592714317,-0.008767971,-0.003834216,0.364881745,2.651184203,182,0
75,3.798118605,4.954592345,2.941748562,3.727973673,0.008993548,-0.044291007,0.368170915,0.650710622,182,0
76,4.013888386,4.904596875,2.627357548,1.982453362,-0.006794469,-0.007123386,0.387905935,1.17664893,182,0
77,3.886926286,4.911175226,2.235150446,3.64900562,-0.000545046,-0.068301948,0.362250409,1.503263546,182,0
78,3.983299071,4.973340647,3.726493022,2.90917429,0.001757373,-0.032449995,0.355014235,2.3324635,182,0
